id;исходное наименование;код;наименование по классификатору;уверенность;требует проверки
38;МАСТЕР СТРОЙУАСТКА;КЛС-047;Мастер строительных и монтажных работ;0.4243;да
39;Сварщик ЭГС;КЛС-020;Электрогазосварщик;0.4712;да
40;  Газорезчик ;КЛС-022;Газорезчик;1.0;нет
41;Бурильщик механического бурения;КЛС-002;Бурильщик механического бурения;1.0;нет
42;Токкарь 6 разряда;КЛС-052;Токарь;0.8084;нет
43;Фрезеровщик;КЛС-053;Фрезеровщик;1.0;нет
44;Инженер-геодезист 1 категории;КЛС-041;Инженер-геодезист;1.0;нет
45;Проходчик;КЛС-056;Проходчик;1.0;нет
46;Прораб (производитель работ);КЛС-046;Прораб;0.6104;нет
47;Бурильщик ручного бурения;КЛС-001;Бурильщик ручного бурения;1.0;нет
48;Инженер по охране труда 6 разряда;КЛС-042;Инженер по охране труда;1.0;нет
49;Агроом;НЕТ СООТВЕТСТВИЯ;;0.1367;да
50;Бурильщик мех. бурения;КЛС-001;Бурильщик ручного бурения;0.8066;да
51;Маш. гсеничного крана;КЛС-027;Машинист гусеничного крана;0.806;нет
52;Бухгалтер материального стола;НЕТ СООТВЕТСТВИЯ;;0.2672;да
53;Сварщик арматурных сеток и каркасов 1 категории;КЛС-021;Сварщик арматурных сеток и каркасов;1.0;нет
54;"ИЗОЛИОВЩИК НА ТЕРМОИЗОЛЯЦИИ АО ""МОСТСТРОЙ""";КЛС-014;Изолировщик на термоизоляции;0.8831;нет
55;"монтажник электрических подъемников ао ""мостстрой""";КЛС-018;Монтажник электрических подъемников;0.9565;нет
56;  Проходчик ;КЛС-056;Проходчик;1.0;нет
57;Инженер по качеству;КЛС-044;Инженер по качеству;1.0;нет
58;  Прораб (производитель работ) ;КЛС-046;Прораб;0.6104;нет
59;Землекоп;КЛС-038;Землекоп;1.0;нет
60;Машинист крана автомоб.;КЛС-025;Машинист крана автомобильного;0.7696;нет
61;подсобный рабочий;КЛС-039;Подсобный рабочий;1.0;нет
62;токарь 6 разряда;КЛС-052;Токарь;1.0;нет
63;Машинист гусеничного крана;КЛС-027;Машинист гусеничного крана;1.0;нет
64;Машинист буровой установки;КЛС-032;Машинист буровой установки;1.0;нет
65;ИНЖЕНЕР ПО КАЧЕСТВУ;КЛС-044;Инженер по качеству;1.0;нет
66;Специалист отдела кадров;НЕТ СООТВЕТСТВИЯ;;0.343;да
67;КРОВЕЛЬЩИК ПО СТАЛЬНЫМ КРОЛВЯМ;КЛС-012;Кровельщик по стальным кровлям;0.9063;нет
68;Лаборант строительной лаборатории;КЛС-054;Лаборант строительной лаборатории;1.0;нет
69;  сварщик эгс ;КЛС-020;Электрогазосварщик;0.4712;да
70;Изолировщик на термоизоляции;КЛС-014;Изолировщик на термоизоляции;1.0;нет
71;Такелажник;КЛС-024;Такелажник;1.0;нет
72;Оператор автокрана;КЛС-025;Машинист крана автомобильного;0.3809;да
73;Облицовщик-плиточник;КЛС-010;Облицовщик-плиточник;1.0;нет
74;  Монтажник по монтажу стальных и железобетонных конструкций ;КЛС-015;Монтажник по монтажу стальных и железобетонных конструкций;1.0;нет
75;Каменщик;КЛС-005;Каменщик;1.0;нет
76;Машинистт башенного крана;КЛС-026;Машинист башенного крана;0.9895;нет
77;Бетонщик;КЛС-004;Бетонщик;1.0;нет
78;Землекоп;КЛС-038;Землекоп;1.0;нет
79;Арматурщик;КЛС-003;Арматурщик;1.0;нет
80;"ШУТКАТУР ООО ""СТРОЙМОНТАЖ""";КЛС-008;Штукатур;0.4666;нет
81;  водитель автомобиля ;КЛС-035;Водитель автомобиля;1.0;нет
82;Токрь 1 категории;КЛС-052;Токарь;0.5725;нет
83;Электрогазосварщик (осн.);КЛС-020;Электрогазосварщик;0.9783;нет
84;Охранник;КЛС-042;Инженер по охране труда;0.439;да
85;Монтажник электричексих подъемников 6 разряда;КЛС-018;Монтажник электрических подъемников;0.9194;нет
86;Инженер-геодезист;КЛС-041;Инженер-геодезист;1.0;нет
87;Водитель автомобиля 2 категории;КЛС-035;Водитель автомобиля;1.0;нет
88;ИЗОЛИРОВЩИК НА ТЕРМОИЗОЛЯЦИИ;КЛС-014;Изолировщик на термоизоляции;1.0;нет
89;Нач. чуастка;КЛС-048;Начальник участка;0.5589;нет
90;Машинист буровой устаонвки;КЛС-032;Машинист буровой установки;0.8594;нет
91;плотник (осн.);КЛС-006;Плотник;0.9433;нет
92;Бурильщик рунчого бурения;КЛС-001;Бурильщик ручного бурения;0.883;нет
93;Машинист экскаватора (осн.);КЛС-028;Машинист экскаватора;0.9752;нет
94;Инженер ПТО;КЛС-041;Инженер-геодезист;0.6051;да
95;Шткуатур;КЛС-008;Штукатур;0.6302;нет
96;Машинист крана башенного;КЛС-026;Машинист башенного крана;1.0;нет
97;Инженер ПТО;КЛС-041;Инженер-геодезист;0.6051;да
98;БЕТОНЩИК 4 РАЗРЯДА;КЛС-004;Бетонщик;1.0;нет
99;"Рабочий пособный ООО ""СтройМонтаж""";КЛС-039;Подсобный рабочий;0.739;нет
100;Прораб 5 разряда;КЛС-046;Прораб;1.0;нет
101;Машинист гусеничного крана;КЛС-027;Машинист гусеничного крана;1.0;нет
102;Инженер-геодезист 2 категории;КЛС-041;Инженер-геодезист;1.0;нет
103;Водитель самосвала;КЛС-036;Водитель самосвала;1.0;нет
104;Монтажник электрических подъемников;КЛС-018;Монтажник электрических подъемников;1.0;нет
105;Инженер-геодезист (осн.);КЛС-041;Инженер-геодезист;0.9709;нет
106;инженер-геодезист;КЛС-041;Инженер-геодезист;1.0;нет
107;Арматурщик;КЛС-003;Арматурщик;1.0;нет
108;Машинист булдьозера;КЛС-029;Машинист бульдозера;0.7723;нет
109;Землекоп;КЛС-038;Землекоп;1.0;нет
110;ВОДИТЕЛЬ АВТОМОБИЛЯ;КЛС-035;Водитель автомобиля;1.0;нет
111;  Машинист башенного крана ;КЛС-026;Машинист башенного крана;1.0;нет
112;Маш. катка;КЛС-031;Машинист катка;0.8231;нет
113;Переводчик;КЛС-056;Проходчик;0.562;нет
114;Проходчик 2 категории;КЛС-056;Проходчик;1.0;нет
115;  Смметчик ;КЛС-045;Сметчик;0.8699;нет
116;Бурильщик руч. бурения;КЛС-001;Бурильщик ручного бурения;0.8839;нет
117;Повар столовой;НЕТ СООТВЕТСТВИЯ;;0.2881;да
118;  Водитель самосвала ;КЛС-036;Водитель самосвала;1.0;нет
119;Эл.газосврщик 2 категории;КЛС-020;Электрогазосварщик;0.5459;нет
120;Кровельщик по стальным кровлям;КЛС-012;Кровельщик по стальным кровлям;1.0;нет
121;Арматурщик (вахта);КЛС-003;Арматурщик;0.9621;нет
122;Дефектоскопист;КЛС-055;Дефектоскопист;1.0;нет
123;Произвдоитель работ;КЛС-047;Мастер строительных и монтажных работ;0.3816;да
124;Сварщик арматрных сеток и каркасов;КЛС-021;Сварщик арматурных сеток и каркасов;0.929;нет
125;АРМАТУРЩИК;КЛС-003;Арматурщик;1.0;нет
126;Делопроизводитель;КЛС-036;Водитель самосвала;0.3784;да
127;"операттор экскаватора ооо ""строймонтаж""";КЛС-028;Машинист экскаватора;0.7312;нет
128;Инженер по каачеству 6 разряда;КЛС-044;Инженер по качеству;0.9392;нет
129;  Дефектоскопист ;КЛС-055;Дефектоскопист;1.0;нет
130;"Газорезчик ООО ""СтройМонтаж""";КЛС-022;Газорезчик;0.8495;нет
131;Мастер строительных и монтажных работ 2 категории;КЛС-047;Мастер строительных и монтажных работ;1.0;нет
132;Электромонтажнк по силовым сетям;КЛС-019;Электромонтажник по силовым сетям;0.972;нет
133;Лаборант строительной лаборатории;КЛС-054;Лаборант строительной лаборатории;1.0;нет
134;изолировщик на гидроизоляции;КЛС-013;Изолировщик на гидроизоляции;1.0;нет
135;Слесарь-реомнтник;КЛС-050;Слесарь-ремонтник;0.7898;нет
136;Маркетолог;НЕТ СООТВЕТСТВИЯ;;0.1506;да
137;Бульдоззерист;КЛС-029;Машинист бульдозера;0.7305;нет
138;Такелажник 6 разряда;КЛС-024;Такелажник;1.0;нет
139;Машинист крана башенного 5 разряда;КЛС-026;Машинист башенного крана;1.0;нет
140;ТАКЕЛАЖНИК 1 КАТЕГОРИИ;КЛС-024;Такелажник;1.0;нет
141;"Машинист буровой установки АО ""МостСтрой""";КЛС-032;Машинист буровой установки;0.9418;нет
142;Машинист башенного крана;КЛС-026;Машинист башенного крана;1.0;нет
143;Дефектоскопист;КЛС-055;Дефектоскопист;1.0;нет
144;Каменщик (вахта);КЛС-005;Каменщик;0.9554;нет
145;Дооржный рабочий;КЛС-037;Дорожный рабочий;0.8065;нет
146;АРМАТУРЩИК;КЛС-003;Арматурщик;1.0;нет
147;Диспетче автотранспорта;НЕТ СООТВЕТСТВИЯ;;0.2653;да
148;монтажник по монтажу стальных и железобетонных конструкций (совм.);КЛС-015;Монтажник по монтажу стальных и железобетонных конструкций;0.9909;нет
149;  Стропальщик ;КЛС-023;Стропальщик;1.0;нет
150;Газорезик 5 разряда;КЛС-022;Газорезчик;0.7514;нет
151;"Сварщик арматруных сеток и каркасов ООО ""СтройМонтаж""";КЛС-021;Сварщик арматурных сеток и каркасов;0.8363;нет
152;Монтажник электрических подъемников;КЛС-018;Монтажник электрических подъемников;1.0;нет
153;Машинист компрессорных установок;КЛС-034;Машинист компрессорных установок;1.0;нет
154;Слесарь-ремонтник;КЛС-050;Слесарь-ремонтник;1.0;нет
155;Такеажник (совм.);КЛС-024;Такелажник;0.657;нет
156;Разнорабочий;КЛС-037;Дорожный рабочий;0.5893;да
157;"Бурильщик мех. бурения ООО ""СтройМонтаж""";КЛС-001;Бурильщик ручного бурения;0.729;да
158;Токарь (совм.);КЛС-052;Токарь;0.9268;нет
159;ШОФЕР САМОСВАЛА 3 РАЗРЯДА;КЛС-036;Водитель самосвала;0.729;нет
160;Маляр строительный;КЛС-009;Маляр строительный;1.0;нет
161;Слесарь-ремонтник (осн.);КЛС-050;Слесарь-ремонтник;0.9736;нет
162;БУЛЬДОЗЕРИСТ (ОСН.);КЛС-029;Машинист бульдозера;0.7769;нет
163;Монтажник технолог. трубопроводов 3 разряда;КЛС-016;Монтажник технологических трубопроводов;0.8766;нет
164;Системный администратор 2 категории;НЕТ СООТВЕТСТВИЯ;;0.2879;да
165;Маш. гусеничного крана 3 разряда;КЛС-027;Машинист гусеничного крана;0.9231;нет
166;ОПЕРАТОР АВТОКРАНА;КЛС-025;Машинист крана автомобильного;0.3809;да
167;Электромонтажник по силовым сетям;КЛС-019;Электромонтажник по силовым сетям;1.0;нет
168;Кровельщик по рулонным кровлям (совм.);КЛС-011;Кровельщик по рулонным кровлям;0.9836;нет
169;Геодезист;КЛС-040;Геодезист;1.0;нет
170;Машинст башенного крана;КЛС-026;Машинист башенного крана;0.9343;нет
171;"Газорезчик ООО ""СтройМонтаж""";КЛС-022;Газорезчик;0.8495;нет
172;Бетонщик;КЛС-004;Бетонщик;1.0;нет
173;Казначей;НЕТ СООТВЕТСТВИЯ;;0.2098;да
174;Монтажник санитарно-технических систем;КЛС-017;Монтажник санитарно-технических систем;1.0;нет
175;Бурильщик мех. бурения 4 разряда;КЛС-001;Бурильщик ручного бурения;0.8066;да
176;ШОФЕР САМОСВАЛА;КЛС-036;Водитель самосвала;0.729;нет
177;КУРЬЕР 4 РАЗРЯДА;НЕТ СООТВЕТСТВИЯ;;0.1548;да
178;Бульдозерист 3 разряда;КЛС-029;Машинист бульдозера;0.8078;нет
179;Лаборант строительной лаборатории 1 категории;КЛС-054;Лаборант строительной лаборатории;1.0;нет
180;Столяр строит. 4 разряда;КЛС-007;Столяр строительный;0.7975;нет
181;Дорожынй рабочий 5 разряда;КЛС-037;Дорожный рабочий;0.8499;нет
182;"столяр строит. ооо ""строймонтаж""";КЛС-007;Столяр строительный;0.6993;нет
183;инжнеер-геодезист;КЛС-040;Геодезист;0.8984;да
184;Облицовщик-плиточник;КЛС-010;Облицовщик-плиточник;1.0;нет
185;Инженер по качеству 3 разряда;КЛС-044;Инженер по качеству;1.0;нет
186;Электрогазосварщик (вахта);КЛС-020;Электрогазосварщик;0.9805;нет
187;Маш. автогрейдера 6 разряда;КЛС-030;Машинист автогрейдера;0.9147;нет
188;ШТКУАТУР;КЛС-008;Штукатур;0.6302;нет
189;Землекоп 1 категории;КЛС-038;Землекоп;1.0;нет
190;Облицовщик-плиточник;КЛС-010;Облицовщик-плиточник;1.0;нет
191;Менеджер по продажам;НЕТ СООТВЕТСТВИЯ;;0.2746;да
192;"Машинист крана башенного ООО ""СтройМонтаж""";КЛС-026;Машинист башенного крана;0.8946;нет
193;  Программист 1С 2 категории ;НЕТ СООТВЕТСТВИЯ;;0.275;да
194;Тоокарь;КЛС-052;Токарь;0.8494;нет
195;Штукатур;КЛС-008;Штукатур;1.0;нет
196;ТОКАРЬ;КЛС-052;Токарь;1.0;нет
197;ИНЖЕНЕР-ГЕОДЕЗИСТ;КЛС-041;Инженер-геодезист;1.0;нет
198;Дорожный рабочий;КЛС-037;Дорожный рабочий;1.0;нет
199;ДОРОЖНЫЙ РАБОЧИЙ;КЛС-037;Дорожный рабочий;1.0;нет
200;  Изоилровщик на термоизоляции ;КЛС-014;Изолировщик на термоизоляции;0.8954;нет
201;Машинист бетононасоса 6 разряда;КЛС-033;Машинист бетононасоса;1.0;нет
202;  Деектоскопист ;КЛС-055;Дефектоскопист;0.8424;нет
203;ИНЖЕНЕР ПО КАЧЕСТВУ 5 РАЗРЯДА;КЛС-044;Инженер по качеству;1.0;нет
204;Монтажник сантех. систем;КЛС-017;Монтажник санитарно-технических систем;0.6631;нет
205;Инженер-геодезист;КЛС-041;Инженер-геодезист;1.0;нет
206;ВОДИТЕЛЬ АВТОМОБИЛЯ (ВАХТА);КЛС-035;Водитель автомобиля;0.9798;нет
207;Маш. автогрейдера;КЛС-030;Машинист автогрейдера;0.9147;нет
208;Стропальщик (вахта);КЛС-023;Стропальщик;0.9622;нет
209;  Сварщик арматурных сеток и каркасов ;КЛС-021;Сварщик арматурных сеток и каркасов;1.0;нет
210;Водитель автомобиля;КЛС-035;Водитель автомобиля;1.0;нет
211;Сметичк;КЛС-045;Сметчик;0.6157;нет
212;Слесарь по сборке металлоконструкций;КЛС-051;Слесарь по сборке металлоконструкций;1.0;нет
213;Пдособный рабочий 3 разряда;КЛС-039;Подсобный рабочий;0.8373;нет
214;Газорезчик;КЛС-022;Газорезчик;1.0;нет
215;  ИНЖЕНЕР ПО ОХАНЕ ТРУДА ;КЛС-042;Инженер по охране труда;0.8622;нет
216;Электромонтажник по силовым сетям 6 разряда;КЛС-019;Электромонтажник по силовым сетям;1.0;нет
217;МАШИНИСТ БАШЕННОГО КРАНА;КЛС-026;Машинист башенного крана;1.0;нет
218;"Сварщик ЭГС ООО ""СтройМонтаж""";КЛС-020;Электрогазосварщик;0.383;да
219;Изолировщик на гидроизоляции;КЛС-013;Изолировщик на гидроизоляции;1.0;нет
220;Маляр стротиельный 5 разряда;КЛС-009;Маляр строительный;0.8547;нет
221;Сварщик ЭГС 5 разряда;КЛС-020;Электрогазосварщик;0.4712;да
222;  Машинист автогрейдера 4 разряда ;КЛС-030;Машинист автогрейдера;1.0;нет
223;облицовщик-плиточник;КЛС-010;Облицовщик-плиточник;1.0;нет
224;КРОВЕЛЬЩИК ПО РУЛОННЫМ КРОВЛЯМ;КЛС-011;Кровельщик по рулонным кровлям;1.0;нет
225;Экономист планового отдела;КЛС-043;Инженер производственно-технического отдела;0.3659;да
226;"Машинист автогрейдера ООО ""СтройМонтаж""";КЛС-030;Машинист автогрейдера;0.8952;нет
227;ЛАБОРАНТ СТРОИТЕЛЬНОЙ ЛАБОРАТОРИИ;КЛС-054;Лаборант строительной лаборатории;1.0;нет
228;Кровельщик по рулонным кровлям;КЛС-011;Кровельщик по рулонным кровлям;1.0;нет
229;Бурильщк руч. бурения (вахта);КЛС-001;Бурильщик ручного бурения;0.8223;нет
230;Машинист бетононасоса (вахта);КЛС-033;Машинист бетононасоса;0.9788;нет
231;Машинист крана автомобильного 3 разряда;КЛС-025;Машинист крана автомобильного;1.0;нет
232;Машинист бетононасоса (вахта);КЛС-033;Машинист бетононасоса;0.9788;нет
233;ТАКЕЛАЖНИК 5 РАЗРЯДА;КЛС-024;Такелажник;1.0;нет
234;Монтажник по монтажу стальных и железобетонных конструкций;КЛС-015;Монтажник по монтажу стальных и железобетонных конструкций;1.0;нет
235;слесарь-ремонтник 1 категории;КЛС-050;Слесарь-ремонтник;1.0;нет
236;Инженер по качеству 2 категории;КЛС-044;Инженер по качеству;1.0;нет
237;  Пораб 1 категории ;КЛС-046;Прораб;0.657;нет
238;Инженер по охране труда;КЛС-042;Инженер по охране труда;1.0;нет
239;Машинист автокрана;КЛС-025;Машинист крана автомобильного;0.6273;нет
240;Изолировщик на термоизоляици 1 категории;КЛС-014;Изолировщик на термоизоляции;0.918;нет
241;Фельдшер здравпункта;НЕТ СООТВЕТСТВИЯ;;0.1482;да
242;  Инженер по качеству ;КЛС-044;Инженер по качеству;1.0;нет
243;Прораб (производитель работ) (совм.);КЛС-046;Прораб;0.5989;нет
244;Монтажник по монтажу стальных и железобетонных констр. 2 категории;КЛС-015;Монтажник по монтажу стальных и железобетонных конструкций;0.9374;нет
245;Маш. крана автомобильного;КЛС-025;Машинист крана автомобильного;0.9301;нет
246;Машинит компрессорных установок;КЛС-034;Машинист компрессорных установок;0.9673;нет
247;лабоант строительной лаборатории 2 категории;КЛС-054;Лаборант строительной лаборатории;0.9495;нет
248;токарь;КЛС-052;Токарь;1.0;нет
249;  ЭЛ.ГАЗОСВАРЩИК ;КЛС-020;Электрогазосварщик;0.7183;нет
250;Водитель автомобиля;КЛС-035;Водитель автомобиля;1.0;нет
251;Машинист гусеничного крана;КЛС-027;Машинист гусеничного крана;1.0;нет
252;  ВОДИТЕЛЬ САМОСВАЛА ;КЛС-036;Водитель самосвала;1.0;нет
253;Кровельщик по рулонным кровлям;КЛС-011;Кровельщик по рулонным кровлям;1.0;нет
254;Штукаутр;КЛС-008;Штукатур;0.7254;нет
255;Дефектоскопист;КЛС-055;Дефектоскопист;1.0;нет
256;Кладощвик центрального склада;НЕТ СООТВЕТСТВИЯ;;0.3329;да
257;"аратурщик ао ""мостстрой""";КЛС-003;Арматурщик;0.6265;нет
258;ОБИЛЦОВЩИК-ПЛИТОЧНИК;КЛС-010;Облицовщик-плиточник;0.8036;нет
259;СЛЕСАРЬ-РЕМОНТТНИК;КЛС-050;Слесарь-ремонтник;0.9266;нет
260;  дорожный рабоччий 4 разряда ;КЛС-037;Дорожный рабочий;0.9416;нет
261;  Монтажник электрических подъемников ;КЛС-018;Монтажник электрических подъемников;1.0;нет
262;"крановщик автокрана ао ""мостстрой""";КЛС-025;Машинист крана автомобильного;0.4283;да
263;"Электромонтажник по силовым сетям АО ""МостСтрой""";КЛС-019;Электромонтажник по силовым сетям;0.9528;нет
264;Подсобный рабочий;КЛС-039;Подсобный рабочий;1.0;нет
265;Специалист по сметам 4 разряда;КЛС-045;Сметчик;0.431;да
266;Машинист бетононасоса;КЛС-033;Машинист бетононасоса;1.0;нет
267;Стропальищк 1 категории;КЛС-023;Стропальщик;0.8299;нет
268;Крановщик башенного крана;КЛС-026;Машинист башенного крана;0.7893;нет
269;электрогазсоварщик 6 разряда;КЛС-020;Электрогазосварщик;0.8097;нет
270;Штукатур;КЛС-008;Штукатур;1.0;нет
271;кровельщик по стальным кровлям;КЛС-012;Кровельщик по стальным кровлям;1.0;нет
272;Газроезчик;КЛС-022;Газорезчик;0.6912;нет
273;Облицовщик-плиточник;КЛС-010;Облицовщик-плиточник;1.0;нет
274;"Каменщик АО ""МостСтрой""";КЛС-005;Каменщик;0.8523;нет
275;Монтажник по монтажу стальных и железобетонных констр.;КЛС-015;Монтажник по монтажу стальных и железобетонных конструкций;0.9374;нет
276;психолог;НЕТ СООТВЕТСТВИЯ;;0.1945;да
277;Юрисконсульт;НЕТ СООТВЕТСТВИЯ;;0.1486;да
278;"сварщик арматурных сеток и каркасов ооо ""строймонтаж""";КЛС-021;Сварщик арматурных сеток и каркасов;0.9393;нет
279;  Прораб (производитель работ) ;КЛС-046;Прораб;0.6104;нет
280;Слесарь-ремонник (совм.);КЛС-050;Слесарь-ремонтник;0.7988;нет
281;Машинист автокрана;КЛС-025;Машинист крана автомобильного;0.6273;нет
282;Изолировщик на термоизоляции;КЛС-014;Изолировщик на термоизоляции;1.0;нет
283;Каменщик (осн.);КЛС-005;Каменщик;0.9505;нет
284;ТАКЕЛАЖНИК;КЛС-024;Такелажник;1.0;нет
285;Монтажник технологических трубопровоов (совм.);КЛС-016;Монтажник технологических трубопроводов;0.9248;нет
286;ЭЛЕКТРОГАЗОВАРЩИК (СОВМ.);КЛС-020;Электрогазосварщик;0.8288;нет
287;Водтиель автомобиля;КЛС-035;Водитель автомобиля;0.8648;нет
288;Изолировщик на гидроизоляции;КЛС-013;Изолировщик на гидроизоляции;1.0;нет
289;Механик строит. машин;КЛС-049;Механик строительных машин;0.8357;нет
290;Облицовщик-плиточник;КЛС-010;Облицовщик-плиточник;1.0;нет
291;Масетр строит. и монтажных работ 5 разряда;КЛС-047;Мастер строительных и монтажных работ;0.7929;нет
292;Токарь 6 разряда;КЛС-052;Токарь;1.0;нет
293;Фрзееровщик 6 разряда;КЛС-053;Фрезеровщик;0.7135;нет
294;СТРОПАЛЬЩИК;КЛС-023;Стропальщик;1.0;нет
295;МАШ. ЭКСКААТОРА;КЛС-028;Машинист экскаватора;0.7306;нет
296;Уборщик служебных помещений;НЕТ СООТВЕТСТВИЯ;;0.1926;да
297;Монтажник санитарно-технических систем;КЛС-017;Монтажник санитарно-технических систем;1.0;нет
298;Кровельищк по рулонным кровлям;КЛС-011;Кровельщик по рулонным кровлям;0.9514;нет
299;ИНЖЕНЕ РПО ОХРАНЕ ТРУДА (ОСН.);КЛС-042;Инженер по охране труда;0.906;нет
300;Плотник;КЛС-006;Плотник;1.0;нет
